,obj,x,y,height,width,frame
113821,445,33,153,29,55,1397
113822,445,33,153,29,55,1398
113823,445,28,152,31,56,1399
113824,445,28,152,31,56,1400
113825,445,26,154,30,55,1401
113826,445,26,154,30,55,1402
113827,445,20,154,31,57,1403
113828,445,20,154,31,57,1404
113829,445,17,158,29,59,1405
113830,445,17,158,29,59,1406
113831,445,14,157,32,56,1407
113832,445,14,157,32,56,1408
113833,445,9,160,31,58,1409
113834,445,9,160,31,58,1410
113835,445,5,160,32,58,1411
113836,445,5,160,32,58,1412
113837,445,3,162,31,55,1413
113838,445,3,161,32,55,1414
113839,445,0,160,35,55,1415
113840,445,0,160,35,55,1416
113841,445,0,160,36,53,1417
113842,445,0,160,36,53,1418
113843,445,0,158,39,49,1419
113844,445,0,158,39,49,1420
113845,445,0,159,40,46,1421
113846,445,0,159,40,46,1422
113847,445,0,160,41,40,1423
113848,445,0,160,41,40,1424
113849,445,33,153,29,55,1397
113850,445,33,153,29,55,1398
113851,445,28,152,31,56,1399
113852,445,28,152,31,56,1400
113853,445,26,154,30,55,1401
113854,445,26,154,30,55,1402
113855,445,20,154,31,57,1403
113856,445,20,154,31,57,1404
113857,445,17,158,29,59,1405
113858,445,17,158,29,59,1406
113859,445,14,157,32,56,1407
113860,445,14,157,32,56,1408
113861,445,9,160,31,58,1409
113862,445,9,160,31,58,1410
113863,445,5,160,32,58,1411
113864,445,5,160,32,58,1412
113865,445,3,162,31,55,1413
113866,445,3,161,32,55,1414
113867,445,0,160,35,55,1415
113868,445,0,160,35,55,1416
113869,445,0,160,36,53,1417
113870,445,0,160,36,53,1418
113871,445,0,158,39,49,1419
113872,445,0,158,39,49,1420
113873,445,0,159,40,46,1421
113874,445,0,159,40,46,1422
113875,445,0,160,41,40,1423
113876,445,0,160,41,40,1424
113877,445,33,153,29,55,1397
113878,445,33,153,29,55,1398
113879,445,28,152,31,56,1399
113880,445,28,152,31,56,1400
113881,445,26,154,30,55,1401
113882,445,26,154,30,55,1402
