,obj,x,y,height,width,frame
14871,184,507,135,16,30,600
14872,184,507,135,16,29,601
14873,184,513,133,16,29,602
14874,184,513,133,16,29,603
14875,184,520,130,16,28,605
14876,184,527,128,16,26,606
14877,184,527,128,16,26,607
14878,184,537,122,17,25,610
14879,184,537,122,17,25,611
14880,184,543,121,15,25,612
14881,184,543,121,16,25,613
14882,184,507,135,16,30,600
14883,184,507,135,16,29,601
14884,184,513,133,16,29,602
14885,184,513,133,16,29,603
14886,184,520,130,16,28,605
14887,184,527,128,16,26,606
14888,184,527,128,16,26,607
14889,184,537,122,17,25,610
14890,184,537,122,17,25,611
14891,184,543,121,15,25,612
14892,184,543,121,16,25,613
14893,184,507,135,16,30,600
14894,184,507,135,16,29,601
14895,184,513,133,16,29,602
14896,184,513,133,16,29,603
14897,184,520,130,16,28,605
14898,184,527,128,16,26,606
14899,184,527,128,16,26,607
14900,184,537,122,17,25,610
14901,184,537,122,17,25,611
14902,184,543,121,15,25,612
14903,184,543,121,16,25,613
14904,184,507,135,16,30,600
14905,184,507,135,16,29,601
14906,184,513,133,16,29,602
14907,184,513,133,16,29,603
14908,184,520,130,16,28,605
14909,184,527,128,16,26,606
14910,184,527,128,16,26,607
14911,184,537,122,17,25,610
14912,184,537,122,17,25,611
14913,184,543,121,15,25,612
14914,184,543,121,16,25,613
14915,184,507,135,16,30,600
14916,184,507,135,16,29,601
14917,184,513,133,16,29,602
14918,184,513,133,16,29,603
14919,184,520,130,16,28,605
14920,184,527,128,16,26,606
14921,184,527,128,16,26,607
14922,184,537,122,17,25,610
14923,184,537,122,17,25,611
14924,184,543,121,15,25,612
14925,184,543,121,16,25,613
14926,184,507,135,16,30,600
14927,184,507,135,16,29,601
14928,184,513,133,16,29,602
14929,184,513,133,16,29,603
14930,184,520,130,16,28,605
14931,184,527,128,16,26,606
14932,184,527,128,16,26,607
14933,184,537,122,17,25,610
14934,184,537,122,17,25,611
14935,184,543,121,15,25,612
14936,184,543,121,16,25,613
14937,184,527,128,16,26,606
14938,184,527,128,16,26,607
14939,184,507,135,16,30,600
14940,184,507,135,16,29,601
14941,184,513,133,16,29,602
14942,184,513,133,16,29,603
14943,184,520,130,16,28,605
294893,34774,506,117,35,46,22005
294894,34774,506,117,35,46,22006
294895,34774,514,114,35,47,22007
294896,34774,514,114,35,47,22008
294897,34774,522,111,33,45,22009
294898,34774,522,111,34,44,22010
294899,34774,528,109,34,44,22011
294900,34774,528,109,34,44,22012
294901,34774,534,106,34,43,22013
294902,34774,534,106,34,43,22014
294903,34774,540,104,33,44,22015
294904,34774,540,104,33,44,22016
294905,34774,546,104,30,42,22017
294906,34774,546,104,30,42,22018
294907,34774,552,102,30,41,22019
294908,34774,552,102,30,41,22020
294909,34774,558,106,24,35,22021
294910,34774,558,106,24,35,22022
294911,34774,563,105,23,37,22023
294912,34774,563,105,23,37,22024
294913,34774,569,102,23,33,22025
294914,34774,569,102,23,33,22026
294915,34774,573,96,27,35,22027
294916,34774,573,95,28,35,22028
294917,34774,506,117,35,46,22005
294918,34774,506,117,35,46,22006
294919,34774,514,114,35,47,22007
294920,34774,514,114,35,47,22008
294921,34774,522,111,33,45,22009
294922,34774,522,111,34,44,22010
294923,34774,528,109,34,44,22011
294924,34774,528,109,34,44,22012
294925,34774,534,106,34,43,22013
294926,34774,534,106,34,43,22014
294927,34774,540,104,33,44,22015
294928,34774,540,104,33,44,22016
294929,34774,546,104,30,42,22017
294930,34774,546,104,30,42,22018
294931,34774,552,102,30,41,22019
294932,34774,552,102,30,41,22020
294933,34774,558,106,24,35,22021
294934,34774,558,106,24,35,22022
294935,34774,563,105,23,37,22023
294936,34774,563,105,23,37,22024
294937,34774,569,102,23,33,22025
294938,34774,569,102,23,33,22026
294939,34774,573,96,27,35,22027
294940,34774,573,95,28,35,22028
294941,34774,506,117,35,46,22005
294942,34774,506,117,35,46,22006
294943,34774,514,114,35,47,22007
294944,34774,514,114,35,47,22008
294945,34774,522,111,33,45,22009
294946,34774,522,111,34,44,22010
294947,34774,528,109,34,44,22011
294948,34774,528,109,34,44,22012
294949,34774,534,106,34,43,22013
294950,34774,534,106,34,43,22014
294951,34774,540,104,33,44,22015
294952,34774,540,104,33,44,22016
294953,34774,546,104,30,42,22017
294954,34774,546,104,30,42,22018
294955,34774,552,102,30,41,22019
294956,34774,552,102,30,41,22020
294957,34774,558,106,24,35,22021
294958,34774,558,106,24,35,22022
294959,34774,563,105,23,37,22023
294960,34774,563,105,23,37,22024
294961,34774,569,102,23,33,22025
294962,34774,569,102,23,33,22026
294963,34774,573,96,27,35,22027
294964,34774,573,95,28,35,22028
294965,34774,506,117,35,46,22005
294966,34774,506,117,35,46,22006
294967,34774,514,114,35,47,22007
294968,34774,514,114,35,47,22008
294969,34774,522,111,33,45,22009
294970,34774,522,111,34,44,22010
294971,34774,528,109,34,44,22011
294972,34774,528,109,34,44,22012
294973,34774,534,106,34,43,22013
294974,34774,534,106,34,43,22014
294975,34774,540,104,33,44,22015
