,obj,x,y,height,width,frame
645264,4379,264,188,30,37,7548
645265,4379,264,188,30,37,7549
645266,4379,267,186,30,38,7550
645267,4379,267,186,30,38,7551
645268,4379,270,184,30,37,7552
645269,4379,270,184,30,37,7553
645270,4379,280,179,29,36,7558
645271,4379,280,179,29,36,7559
645272,4379,283,178,29,35,7560
645273,4379,283,178,29,35,7561
645274,4379,288,176,29,35,7564
645275,4379,288,176,29,35,7565
645276,4379,264,188,30,37,7548
645277,4379,264,188,30,37,7549
645278,4379,267,186,30,38,7550
645279,4379,267,186,30,38,7551
645280,4379,270,184,30,37,7552
645281,4379,270,184,30,37,7553
645282,4379,280,179,29,36,7558
645283,4379,280,179,29,36,7559
645284,4379,283,178,29,35,7560
645285,4379,283,178,29,35,7561
645286,4379,288,176,29,35,7564
645287,4379,288,176,29,35,7565
645288,4379,264,188,30,37,7548
645289,4379,264,188,30,37,7549
645290,4379,267,186,30,38,7550
645291,4379,267,186,30,38,7551
645292,4379,270,184,30,37,7552
645293,4379,270,184,30,37,7553
645294,4379,280,179,29,36,7558
645295,4379,280,179,29,36,7559
645296,4379,283,178,29,35,7560
645297,4379,283,178,29,35,7561
645298,4379,288,176,29,35,7564
645299,4379,288,176,29,35,7565
645300,4379,264,188,30,37,7548
645301,4379,264,188,30,37,7549
645302,4379,267,186,30,38,7550
645303,4379,267,186,30,38,7551
645304,4379,270,184,30,37,7552
645305,4379,270,184,30,37,7553
645306,4379,280,179,29,36,7558
645307,4379,280,179,29,36,7559
645308,4379,283,178,29,35,7560
645309,4379,283,178,29,35,7561
645310,4379,288,176,29,35,7564
645311,4379,288,176,29,35,7565
645312,4379,264,188,30,37,7548
645313,4379,264,188,30,37,7549
645314,4379,267,186,30,38,7550
645315,4379,267,186,30,38,7551
645316,4379,270,184,30,37,7552
645317,4379,270,184,30,37,7553
645318,4379,280,179,29,36,7558
645319,4379,280,179,29,36,7559
645320,4379,283,178,29,35,7560
645321,4379,283,178,29,35,7561
645322,4379,288,176,29,35,7564
645323,4379,288,176,29,35,7565
645324,4379,264,188,30,37,7548
645325,4379,264,188,30,37,7549
645326,4379,267,186,30,38,7550
645327,4379,267,186,30,38,7551
645328,4379,270,184,30,37,7552
645329,4379,270,184,30,37,7553
645330,4379,280,179,29,36,7558
645331,4379,280,179,29,36,7559
645332,4379,283,178,29,35,7560
645333,4379,283,178,29,35,7561
645334,4379,288,176,29,35,7564
645335,4379,288,176,29,35,7565
645336,4379,264,188,30,37,7548
645337,4379,264,188,30,37,7549
645338,4379,267,186,30,38,7550
645339,4379,267,186,30,38,7551
645340,4379,270,184,30,37,7552
645341,4379,270,184,30,37,7553
645342,4379,280,179,29,36,7558
645343,4379,280,179,29,36,7559
645344,4379,283,178,29,35,7560
645345,4379,283,178,29,35,7561
645346,4379,288,176,29,35,7564
645347,4379,288,176,29,35,7565
645348,4379,264,188,30,37,7548
645349,4379,264,188,30,37,7549
645350,4379,267,186,30,38,7550
645351,4379,267,186,30,38,7551
645352,4379,270,184,30,37,7552
645353,4379,270,184,30,37,7553
645354,4379,280,179,29,36,7558
645355,4379,280,179,29,36,7559
645356,4379,283,178,29,35,7560
645357,4379,283,178,29,35,7561
645358,4379,288,176,29,35,7564
645359,4379,288,176,29,35,7565
645360,4379,264,188,30,37,7548
645361,4379,264,188,30,37,7549
645362,4379,267,186,30,38,7550
645363,4379,267,186,30,38,7551
645364,4379,270,184,30,37,7552
645365,4379,270,184,30,37,7553
645366,4379,280,179,29,36,7558
645367,4379,280,179,29,36,7559
645368,4379,270,184,30,37,7552
645369,4379,270,184,30,37,7553
645370,4379,280,179,29,36,7558
645371,4379,280,179,29,36,7559
645372,4379,264,188,30,37,7548
645373,4379,264,188,30,37,7549
645374,4379,267,186,30,38,7550
645375,4379,267,186,30,38,7551
645376,4379,264,188,30,37,7548
645377,4379,264,188,30,37,7549
645378,4379,267,186,30,38,7550
645379,4379,267,186,30,38,7551
645380,4379,264,188,30,37,7548
645381,4379,264,188,30,37,7549
645382,4379,267,186,30,38,7550
645383,4379,267,186,30,38,7551
645384,4379,264,188,30,37,7548
645385,4379,264,188,30,37,7549
645386,4379,267,186,30,38,7550
645387,4379,267,186,30,38,7551
645388,4379,264,188,30,37,7548
645389,4379,264,188,30,37,7549
645390,4379,267,186,30,38,7550
645391,4379,267,186,30,38,7551
645392,4379,264,188,30,37,7548
645393,4379,264,188,30,37,7549
645394,4379,267,186,30,38,7550
645395,4379,267,186,30,38,7551
645396,4379,264,188,30,37,7548
645397,4379,264,188,30,37,7549
645398,4379,267,186,30,38,7550
645399,4379,267,186,30,38,7551
645400,4379,264,188,30,37,7548
645401,4379,264,188,30,37,7549
645402,4379,267,186,30,38,7550
645403,4379,267,186,30,38,7551
645404,4379,264,188,30,37,7548
645405,4379,264,188,30,37,7549
645406,4379,267,186,30,38,7550
645407,4379,267,186,30,38,7551
645408,4379,264,188,30,37,7548
645409,4379,264,188,30,37,7549
645410,4379,267,186,30,38,7550
645411,4379,267,186,30,38,7551
645412,4379,264,188,30,37,7548
645413,4379,264,188,30,37,7549
645414,4379,267,186,30,38,7550
645415,4379,267,186,30,38,7551
645416,4379,264,188,30,37,7548
645417,4379,264,188,30,37,7549
645418,4379,267,186,30,38,7550
645419,4379,267,186,30,38,7551
645420,4379,264,188,30,37,7548
645421,4379,264,188,30,37,7549
645422,4379,267,186,30,38,7550
645423,4379,267,186,30,38,7551
