,obj,x,y,height,width,frame
1939,75,553,137,85,60,1346
1940,75,553,137,85,60,1347
1941,75,553,138,81,53,1350
1942,75,554,138,81,52,1351
1943,75,555,139,76,48,1352
1944,75,554,139,76,49,1353
1945,75,552,138,76,53,1354
1946,75,552,138,76,53,1355
1947,75,553,155,52,41,1360
1948,75,553,155,52,41,1361
1949,75,553,153,51,40,1363
1950,75,552,154,48,40,1364
1951,75,552,154,48,40,1365
1952,75,559,136,97,64,1338
1953,75,559,136,97,63,1339
1954,75,556,138,86,59,1344
1955,75,556,138,86,58,1345
1956,75,549,140,69,55,1358
1957,75,549,140,68,53,1359
1958,75,552,151,53,41,1362
1959,75,551,151,48,40,1366
1960,75,551,153,47,39,1367
1961,75,553,159,39,33,1368
1962,75,553,159,39,33,1369
1963,75,548,150,46,40,1372
1964,75,548,150,46,40,1373
1965,75,550,152,40,31,1376
1966,75,548,152,40,33,1377
1967,75,544,145,44,36,1380
1968,75,544,145,44,36,1381
1969,75,550,149,34,25,1386
1970,75,556,138,86,59,1344
1971,75,556,138,86,58,1345
1972,75,549,140,69,55,1358
1973,75,549,140,68,53,1359
1974,75,552,151,53,41,1362
1975,75,551,151,48,40,1366
1976,75,551,153,47,39,1367
1977,75,553,159,39,33,1368
1978,75,553,159,39,33,1369
1979,75,548,150,46,40,1372
1980,75,548,150,46,40,1373
1981,75,550,152,40,31,1376
1982,75,548,152,40,33,1377
1983,75,544,145,44,36,1380
1984,75,544,145,44,36,1381
1985,75,550,149,34,25,1386
1986,75,556,138,86,59,1344
1987,75,556,138,86,58,1345
1988,75,549,140,69,55,1358
1989,75,549,140,68,53,1359
1990,75,552,151,53,41,1362
1991,75,551,151,48,40,1366
1992,75,551,153,47,39,1367
1993,75,553,159,39,33,1368
1994,75,553,159,39,33,1369
1995,75,548,150,46,40,1372
1996,75,548,150,46,40,1373
1997,75,550,152,40,31,1376
1998,75,548,152,40,33,1377
1999,75,544,145,44,36,1380
2000,75,544,145,44,36,1381
2001,75,550,149,34,25,1386
2002,75,556,138,86,59,1344
2003,75,556,138,86,58,1345
2004,75,549,140,69,55,1358
2005,75,549,140,68,53,1359
2006,75,552,151,53,41,1362
2007,75,551,151,48,40,1366
2008,75,551,153,47,39,1367
2009,75,553,159,39,33,1368
2010,75,553,159,39,33,1369
2011,75,548,150,46,40,1372
2012,75,548,150,46,40,1373
2013,75,550,152,40,31,1376
2014,75,548,152,40,33,1377
2015,75,544,145,44,36,1380
2016,75,544,145,44,36,1381
2017,75,550,149,34,25,1386
2018,75,556,138,86,59,1344
