,obj,x,y,height,width,frame
18586,688,505,169,14,36,4973
18587,688,505,169,14,36,4974
18588,688,493,168,16,44,4975
18589,688,493,168,16,44,4976
18590,688,482,165,20,53,4977
18591,688,482,165,20,53,4978
18592,688,470,165,21,57,4979
18593,688,469,165,21,58,4980
18594,688,456,167,20,62,4981
18595,688,456,167,20,62,4982
18596,688,505,169,14,36,4973
18597,688,505,169,14,36,4974
18598,688,493,168,16,44,4975
18599,688,493,168,16,44,4976
18600,688,482,165,20,53,4977
18601,688,482,165,20,53,4978
18602,688,470,165,21,57,4979
18603,688,469,165,21,58,4980
18604,688,456,167,20,62,4981
18605,688,456,167,20,62,4982
18606,688,505,169,14,36,4973
18607,688,505,169,14,36,4974
18608,688,493,168,16,44,4975
18609,688,493,168,16,44,4976
18610,688,482,165,20,53,4977
18611,688,482,165,20,53,4978
18612,688,470,165,21,57,4979
18613,688,469,165,21,58,4980
18614,688,456,167,20,62,4981
18615,688,456,167,20,62,4982
18616,688,505,169,14,36,4973
18617,688,505,169,14,36,4974
18618,688,493,168,16,44,4975
18619,688,493,168,16,44,4976
18620,688,482,165,20,53,4977
18621,688,482,165,20,53,4978
18622,688,470,165,21,57,4979
18623,688,469,165,21,58,4980
18624,688,456,167,20,62,4981
18625,688,456,167,20,62,4982
18626,688,505,169,14,36,4973
18627,688,505,169,14,36,4974
18628,688,493,168,16,44,4975
18629,688,493,168,16,44,4976
18630,688,482,165,20,53,4977
18631,688,482,165,20,53,4978
18632,688,470,165,21,57,4979
18633,688,469,165,21,58,4980
18634,688,456,167,20,62,4981
18635,688,456,167,20,62,4982
18636,688,505,169,14,36,4973
18637,688,505,169,14,36,4974
18638,688,493,168,16,44,4975
18639,688,493,168,16,44,4976
18640,688,482,165,20,53,4977
18641,688,482,165,20,53,4978
18642,688,470,165,21,57,4979
18643,688,469,165,21,58,4980
18644,688,456,167,20,62,4981
18645,688,456,167,20,62,4982
18646,688,505,169,14,36,4973
18647,688,505,169,14,36,4974
18648,688,493,168,16,44,4975
18649,688,493,168,16,44,4976
18650,688,482,165,20,53,4977
18651,688,482,165,20,53,4978
18652,688,470,165,21,57,4979
18653,688,469,165,21,58,4980
18654,688,456,167,20,62,4981
18655,688,456,167,20,62,4982
18656,688,505,169,14,36,4973
18657,688,505,169,14,36,4974
18658,688,493,168,16,44,4975
18659,688,493,168,16,44,4976
18660,688,482,165,20,53,4977
18661,688,482,165,20,53,4978
18662,688,470,165,21,57,4979
18663,688,469,165,21,58,4980
18664,688,456,167,20,62,4981
18665,688,456,167,20,62,4982
18666,688,505,169,14,36,4973
18667,688,505,169,14,36,4974
18668,688,493,168,16,44,4975
18669,688,493,168,16,44,4976
18670,688,482,165,20,53,4977
18671,688,482,165,20,53,4978
18672,688,470,165,21,57,4979
18673,688,469,165,21,58,4980
18674,688,456,167,20,62,4981
18675,688,456,167,20,62,4982
18676,688,505,169,14,36,4973
18677,688,505,169,14,36,4974
18678,688,493,168,16,44,4975
18679,688,493,168,16,44,4976
18680,688,482,165,20,53,4977
18681,688,482,165,20,53,4978
18682,688,470,165,21,57,4979
18683,688,469,165,21,58,4980
18684,688,456,167,20,62,4981
18685,688,456,167,20,62,4982
18686,688,505,169,14,36,4973
18687,688,505,169,14,36,4974
18688,688,493,168,16,44,4975
18689,688,493,168,16,44,4976
18690,688,482,165,20,53,4977
18691,688,482,165,20,53,4978
18692,688,470,165,21,57,4979
18693,688,469,165,21,58,4980
18694,688,456,167,20,62,4981
18695,688,456,167,20,62,4982
18696,688,505,169,14,36,4973
18697,688,505,169,14,36,4974
18698,688,493,168,16,44,4975
18699,688,493,168,16,44,4976
18700,688,482,165,20,53,4977
18701,688,482,165,20,53,4978
18702,688,470,165,21,57,4979
18703,688,469,165,21,58,4980
18704,688,456,167,20,62,4981
18705,688,456,167,20,62,4982
18706,688,505,169,14,36,4973
18707,688,505,169,14,36,4974
18708,688,493,168,16,44,4975
18709,688,493,168,16,44,4976
18710,688,482,165,20,53,4977
18711,688,482,165,20,53,4978
18712,688,470,165,21,57,4979
18713,688,469,165,21,58,4980
18714,688,456,167,20,62,4981
18715,688,456,167,20,62,4982
18716,688,505,169,14,36,4973
18717,688,505,169,14,36,4974
18718,688,493,168,16,44,4975
18719,688,493,168,16,44,4976
18720,688,482,165,20,53,4977
18721,688,482,165,20,53,4978
18722,688,470,165,21,57,4979
18723,688,469,165,21,58,4980
18724,688,456,167,20,62,4981
18725,688,456,167,20,62,4982
