,obj,x,y,height,width,frame
10199,1645,344,100,34,60,2430
10200,1645,344,100,33,60,2431
10201,1645,362,99,31,59,2432
10202,1645,362,99,32,59,2433
10203,1645,322,103,34,65,2428
10204,1645,322,103,34,65,2429
10205,1645,257,112,39,77,2423
10206,1645,257,112,39,77,2424
10207,1645,273,111,37,73,2425
10208,1645,195,120,45,89,2419
10209,1645,195,119,46,89,2420
10210,1645,228,116,42,82,2421
10211,1645,228,116,42,82,2422
10212,1645,156,124,49,99,2417
10213,1645,156,124,49,99,2418
10214,1645,297,107,36,69,2426
10215,1645,297,107,36,69,2427
10216,1645,156,124,49,99,2417
10217,1645,156,124,49,99,2418
10218,1645,297,107,36,69,2426
10219,1645,297,107,36,69,2427
10220,1645,156,124,49,99,2417
10221,1645,156,124,49,99,2418
10222,1645,297,107,36,69,2426
10223,1645,297,107,36,69,2427
