,obj,x,y,height,width,frame
7917,1057,399,141,98,110,1595
7918,1057,399,141,98,110,1596
7919,1057,410,135,89,110,1597
7920,1057,410,135,89,111,1598
7921,1057,307,167,125,153,1588
7922,1057,307,167,125,153,1589
7923,1057,458,124,76,91,1603
7924,1057,459,124,76,90,1604
7925,1057,465,123,79,89,1605
7926,1057,478,119,84,84,1606
7927,1057,478,119,84,84,1607
7928,1057,510,112,66,75,1612
7929,1057,511,112,66,74,1613
7930,1057,528,106,65,67,1616
7931,1057,528,106,65,67,1617
7932,1057,531,106,68,67,1618
7933,1057,548,102,61,61,1621
7934,1057,548,102,61,61,1622
7935,1057,458,124,76,91,1603
7936,1057,459,124,76,90,1604
7937,1057,465,123,79,89,1605
7938,1057,478,119,84,84,1606
7939,1057,478,119,84,84,1607
7940,1057,510,112,66,75,1612
7941,1057,511,112,66,74,1613
7942,1057,528,106,65,67,1616
7943,1057,528,106,65,67,1617
7944,1057,531,106,68,67,1618
7945,1057,548,102,61,61,1621
7946,1057,548,102,61,61,1622
7947,1057,458,124,76,91,1603
7948,1057,459,124,76,90,1604
7949,1057,465,123,79,89,1605
7950,1057,478,119,84,84,1606
7951,1057,478,119,84,84,1607
7952,1057,510,112,66,75,1612
7953,1057,511,112,66,74,1613
7954,1057,528,106,65,67,1616
7955,1057,528,106,65,67,1617
7956,1057,531,106,68,67,1618
7957,1057,548,102,61,61,1621
7958,1057,548,102,61,61,1622
7959,1057,458,124,76,91,1603
7960,1057,459,124,76,90,1604
7961,1057,465,123,79,89,1605
7962,1057,478,119,84,84,1606
7963,1057,478,119,84,84,1607
7964,1057,510,112,66,75,1612
7965,1057,511,112,66,74,1613
7966,1057,528,106,65,67,1616
7967,1057,528,106,65,67,1617
7968,1057,531,106,68,67,1618
7969,1057,548,102,61,61,1621
7970,1057,548,102,61,61,1622
31409,21945,301,127,44,81,18746
31410,21945,301,127,44,80,18747
31411,21945,331,121,42,72,18748
31412,21945,331,121,42,72,18749
31413,21945,377,115,38,61,18752
31414,21945,377,115,38,61,18753
31415,21945,377,115,38,61,18752
31416,21945,377,115,38,61,18753
31417,21945,377,115,38,61,18752
31418,21945,377,115,38,61,18753
31419,21945,377,115,38,61,18752
31420,21945,377,115,38,61,18753
