,obj,x,y,height,width,frame
249,1,105,186,31,72,1
250,1,95,189,32,72,2
251,1,84,195,31,64,3
252,1,84,195,31,64,4
253,1,55,200,33,73,5
254,1,55,200,33,73,6
255,1,29,206,34,78,7
256,1,29,206,34,78,8
257,1,6,212,37,77,9
258,1,6,212,36,77,10
259,1,0,219,35,61,11
260,1,0,219,35,61,12
261,1,0,226,28,32,13
262,1,0,226,28,32,14
263,1,105,186,31,72,1
264,1,95,189,32,72,2
265,1,84,195,31,64,3
266,1,84,195,31,64,4
267,1,55,200,33,73,5
268,1,55,200,33,73,6
269,1,29,206,34,78,7
270,1,29,206,34,78,8
271,1,6,212,37,77,9
272,1,6,212,36,77,10
273,1,0,219,35,61,11
274,1,0,219,35,61,12
275,1,0,226,28,32,13
276,1,0,226,28,32,14
277,1,105,186,31,72,1
278,1,95,189,32,72,2
279,1,84,195,31,64,3
280,1,84,195,31,64,4
281,1,55,200,33,73,5
282,1,55,200,33,73,6
283,1,29,206,34,78,7
284,1,29,206,34,78,8
285,1,6,212,37,77,9
286,1,6,212,36,77,10
287,1,0,219,35,61,11
288,1,0,219,35,61,12
289,1,0,226,28,32,13
290,1,0,226,28,32,14
291,1,105,186,31,72,1
292,1,95,189,32,72,2
293,1,84,195,31,64,3
294,1,84,195,31,64,4
295,1,55,200,33,73,5
296,1,55,200,33,73,6
297,1,29,206,34,78,7
298,1,29,206,34,78,8
299,1,6,212,37,77,9
300,1,6,212,36,77,10
301,1,0,219,35,61,11
302,1,0,219,35,61,12
303,1,0,226,28,32,13
304,1,0,226,28,32,14
305,1,105,186,31,72,1
306,1,95,189,32,72,2
307,1,84,195,31,64,3
308,1,84,195,31,64,4
309,1,55,200,33,73,5
310,1,55,200,33,73,6
311,1,29,206,34,78,7
312,1,29,206,34,78,8
313,1,6,212,37,77,9
314,1,6,212,36,77,10
315,1,0,219,35,61,11
316,1,0,219,35,61,12
317,1,0,226,28,32,13
318,1,0,226,28,32,14
319,1,105,186,31,72,1
320,1,95,189,32,72,2
321,1,84,195,31,64,3
322,1,84,195,31,64,4
323,1,55,200,33,73,5
324,1,55,200,33,73,6
325,1,29,206,34,78,7
326,1,29,206,34,78,8
327,1,6,212,37,77,9
328,1,6,212,36,77,10
329,1,0,219,35,61,11
330,1,0,219,35,61,12
331,1,0,226,28,32,13
332,1,0,226,28,32,14
333,1,105,186,31,72,1
334,1,95,189,32,72,2
335,1,84,195,31,64,3
336,1,84,195,31,64,4
337,1,55,200,33,73,5
338,1,55,200,33,73,6
339,1,29,206,34,78,7
340,1,29,206,34,78,8
341,1,6,212,37,77,9
342,1,6,212,36,77,10
343,1,0,219,35,61,11
344,1,0,219,35,61,12
345,1,0,226,28,32,13
346,1,0,226,28,32,14
347,1,105,186,31,72,1
348,1,95,189,32,72,2
349,1,84,195,31,64,3
350,1,84,195,31,64,4
351,1,55,200,33,73,5
352,1,55,200,33,73,6
353,1,29,206,34,78,7
354,1,29,206,34,78,8
355,1,6,212,37,77,9
356,1,6,212,36,77,10
357,1,0,219,35,61,11
358,1,0,219,35,61,12
359,1,0,226,28,32,13
360,1,0,226,28,32,14
361,1,105,186,31,72,1
362,1,95,189,32,72,2
363,1,84,195,31,64,3
364,1,84,195,31,64,4
365,1,55,200,33,73,5
366,1,55,200,33,73,6
367,1,29,206,34,78,7
368,1,29,206,34,78,8
369,1,6,212,37,77,9
370,1,6,212,36,77,10
371,1,0,219,35,61,11
372,1,0,219,35,61,12
373,1,0,226,28,32,13
374,1,0,226,28,32,14
375,1,105,186,31,72,1
376,1,95,189,32,72,2
377,1,84,195,31,64,3
378,1,84,195,31,64,4
379,1,55,200,33,73,5
380,1,55,200,33,73,6
381,1,29,206,34,78,7
382,1,29,206,34,78,8
383,1,6,212,37,77,9
384,1,6,212,36,77,10
385,1,0,219,35,61,11
386,1,0,219,35,61,12
387,1,0,226,28,32,13
388,1,0,226,28,32,14
389,1,105,186,31,72,1
390,1,95,189,32,72,2
391,1,84,195,31,64,3
392,1,84,195,31,64,4
393,1,55,200,33,73,5
394,1,55,200,33,73,6
395,1,29,206,34,78,7
396,1,29,206,34,78,8
397,1,6,212,37,77,9
398,1,6,212,36,77,10
399,1,0,219,35,61,11
400,1,0,219,35,61,12
401,1,0,226,28,32,13
402,1,0,226,28,32,14
403,1,105,186,31,72,1
404,1,95,189,32,72,2
405,1,84,195,31,64,3
406,1,84,195,31,64,4
407,1,55,200,33,73,5
408,1,55,200,33,73,6
409,1,29,206,34,78,7
410,1,29,206,34,78,8
411,1,6,212,37,77,9
412,1,6,212,36,77,10
413,1,0,219,35,61,11
414,1,0,219,35,61,12
415,1,0,226,28,32,13
416,1,0,226,28,32,14
417,1,105,186,31,72,1
418,1,95,189,32,72,2
419,1,84,195,31,64,3
420,1,84,195,31,64,4
421,1,55,200,33,73,5
422,1,55,200,33,73,6
423,1,29,206,34,78,7
424,1,29,206,34,78,8
425,1,6,212,37,77,9
426,1,6,212,36,77,10
427,1,0,219,35,61,11
428,1,0,219,35,61,12
429,1,0,226,28,32,13
430,1,0,226,28,32,14
431,1,105,186,31,72,1
432,1,95,189,32,72,2
433,1,84,195,31,64,3
434,1,84,195,31,64,4
435,1,55,200,33,73,5
436,1,55,200,33,73,6
437,1,29,206,34,78,7
438,1,29,206,34,78,8
439,1,6,212,37,77,9
440,1,6,212,36,77,10
441,1,0,219,35,61,11
442,1,0,219,35,61,12
443,1,0,226,28,32,13
444,1,0,226,28,32,14
445,1,105,186,31,72,1
446,1,95,189,32,72,2
447,1,84,195,31,64,3
448,1,84,195,31,64,4
449,1,55,200,33,73,5
450,1,55,200,33,73,6
451,1,29,206,34,78,7
452,1,29,206,34,78,8
453,1,6,212,37,77,9
454,1,6,212,36,77,10
455,1,0,219,35,61,11
456,1,0,219,35,61,12
457,1,0,226,28,32,13
458,1,0,226,28,32,14
459,1,105,186,31,72,1
460,1,95,189,32,72,2
461,1,84,195,31,64,3
462,1,84,195,31,64,4
463,1,55,200,33,73,5
464,1,55,200,33,73,6
465,1,29,206,34,78,7
466,1,29,206,34,78,8
467,1,6,212,37,77,9
468,1,6,212,36,77,10
469,1,0,219,35,61,11
470,1,0,219,35,61,12
471,1,0,226,28,32,13
472,1,0,226,28,32,14
473,1,105,186,31,72,1
474,1,95,189,32,72,2
475,1,84,195,31,64,3
476,1,84,195,31,64,4
477,1,55,200,33,73,5
478,1,55,200,33,73,6
479,1,29,206,34,78,7
480,1,29,206,34,78,8
481,1,6,212,37,77,9
482,1,6,212,36,77,10
483,1,0,219,35,61,11
484,1,0,219,35,61,12
485,1,0,226,28,32,13
486,1,0,226,28,32,14
487,1,105,186,31,72,1
488,1,95,189,32,72,2
489,1,84,195,31,64,3
490,1,84,195,31,64,4
491,1,55,200,33,73,5
492,1,55,200,33,73,6
493,1,29,206,34,78,7
494,1,29,206,34,78,8
495,1,6,212,37,77,9
496,1,6,212,36,77,10
497,1,0,219,35,61,11
498,1,0,219,35,61,12
499,1,0,226,28,32,13
500,1,0,226,28,32,14
501,1,105,186,31,72,1
502,1,95,189,32,72,2
503,1,84,195,31,64,3
504,1,84,195,31,64,4
505,1,55,200,33,73,5
506,1,55,200,33,73,6
507,1,29,206,34,78,7
508,1,29,206,34,78,8
509,1,6,212,37,77,9
510,1,6,212,36,77,10
511,1,0,219,35,61,11
512,1,0,219,35,61,12
513,1,0,226,28,32,13
514,1,0,226,28,32,14
515,1,105,186,31,72,1
516,1,95,189,32,72,2
517,1,84,195,31,64,3
518,1,84,195,31,64,4
519,1,55,200,33,73,5
520,1,55,200,33,73,6
521,1,29,206,34,78,7
522,1,29,206,34,78,8
523,1,6,212,37,77,9
524,1,6,212,36,77,10
525,1,0,219,35,61,11
526,1,0,219,35,61,12
527,1,0,226,28,32,13
528,1,0,226,28,32,14
529,1,105,186,31,72,1
530,1,95,189,32,72,2
531,1,84,195,31,64,3
532,1,84,195,31,64,4
8643,55,453,86,16,25,587
8644,55,453,86,16,25,588
8645,55,450,88,16,24,589
8646,55,450,88,16,24,590
8647,55,446,88,17,26,591
8648,55,446,88,17,26,592
8649,55,443,89,17,26,593
8650,55,443,89,17,26,594
8651,55,438,90,17,27,595
8652,55,438,90,17,27,596
8653,55,437,90,18,26,597
8654,55,432,92,17,28,598
8655,55,432,92,17,28,599
8656,55,428,94,16,28,600
8657,55,428,94,16,28,601
8658,55,425,95,17,28,602
8659,55,425,95,17,28,603
8660,55,419,96,18,30,604
8661,55,419,96,18,30,605
8662,55,415,98,17,31,606
8663,55,415,98,17,31,607
8664,55,412,98,18,32,608
8665,55,406,99,19,34,609
8666,55,406,99,19,34,610
8667,55,403,101,18,32,611
8668,55,403,101,18,32,612
8669,55,398,103,17,31,613
8670,55,398,103,17,31,614
8671,55,391,105,17,32,615
8672,55,391,105,17,32,616
8673,55,386,106,18,34,617
8674,55,386,106,18,34,618
8675,55,383,108,18,30,619
8676,55,383,108,18,30,620
8677,55,379,109,18,29,621
8678,55,373,111,17,35,622
8679,55,373,111,17,35,623
8680,55,367,112,19,31,624
8681,55,367,112,19,31,625
8682,55,359,111,22,39,626
8683,55,359,111,22,39,627
8684,55,353,115,20,38,628
8685,55,353,114,21,39,629
8686,55,346,116,21,39,630
8687,55,346,116,21,39,631
8688,55,342,116,22,41,632
8689,55,334,118,23,39,633
8690,55,335,118,23,37,634
8691,55,326,120,23,43,635
8692,55,326,120,23,43,636
8693,55,318,120,25,43,637
8694,55,318,120,25,43,638
8695,55,309,123,24,44,639
8696,55,309,123,24,44,640
8697,55,300,124,26,47,641
8698,55,300,124,26,47,642
8699,55,296,125,26,47,643
8700,55,453,86,16,25,587
8701,55,453,86,16,25,588
8702,55,450,88,16,24,589
8703,55,450,88,16,24,590
8704,55,446,88,17,26,591
8705,55,446,88,17,26,592
8706,55,443,89,17,26,593
8707,55,443,89,17,26,594
8708,55,438,90,17,27,595
8709,55,438,90,17,27,596
8710,55,437,90,18,26,597
8711,55,432,92,17,28,598
8712,55,432,92,17,28,599
8713,55,428,94,16,28,600
8714,55,428,94,16,28,601
8715,55,425,95,17,28,602
8716,55,425,95,17,28,603
8717,55,419,96,18,30,604
8718,55,419,96,18,30,605
8719,55,415,98,17,31,606
8720,55,415,98,17,31,607
8721,55,412,98,18,32,608
8722,55,406,99,19,34,609
8723,55,406,99,19,34,610
8724,55,403,101,18,32,611
8725,55,403,101,18,32,612
8726,55,398,103,17,31,613
8727,55,398,103,17,31,614
8728,55,391,105,17,32,615
8729,55,391,105,17,32,616
8730,55,386,106,18,34,617
8731,55,386,106,18,34,618
8732,55,383,108,18,30,619
8733,55,383,108,18,30,620
8734,55,379,109,18,29,621
8735,55,373,111,17,35,622
8736,55,373,111,17,35,623
8737,55,367,112,19,31,624
8738,55,367,112,19,31,625
8739,55,359,111,22,39,626
8740,55,359,111,22,39,627
8741,55,353,115,20,38,628
8742,55,353,114,21,39,629
8743,55,346,116,21,39,630
8744,55,346,116,21,39,631
8745,55,342,116,22,41,632
8746,55,334,118,23,39,633
8747,55,335,118,23,37,634
8748,55,326,120,23,43,635
8749,55,326,120,23,43,636
8750,55,318,120,25,43,637
8751,55,318,120,25,43,638
8752,55,309,123,24,44,639
8753,55,309,123,24,44,640
8754,55,300,124,26,47,641
8755,55,300,124,26,47,642
8756,55,296,125,26,47,643
8757,55,453,86,16,25,587
8758,55,453,86,16,25,588
8759,55,450,88,16,24,589
8760,55,450,88,16,24,590
8761,55,446,88,17,26,591
8762,55,446,88,17,26,592
8763,55,443,89,17,26,593
8764,55,443,89,17,26,594
8765,55,438,90,17,27,595
8766,55,438,90,17,27,596
8767,55,437,90,18,26,597
8768,55,432,92,17,28,598
8769,55,432,92,17,28,599
8770,55,428,94,16,28,600
8771,55,428,94,16,28,601
8772,55,425,95,17,28,602
8773,55,425,95,17,28,603
8774,55,419,96,18,30,604
8775,55,419,96,18,30,605
8776,55,415,98,17,31,606
8777,55,415,98,17,31,607
8778,55,412,98,18,32,608
8779,55,406,99,19,34,609
8780,55,406,99,19,34,610
8781,55,403,101,18,32,611
8782,55,403,101,18,32,612
8783,55,398,103,17,31,613
8784,55,398,103,17,31,614
8785,55,391,105,17,32,615
8786,55,391,105,17,32,616
8787,55,386,106,18,34,617
8788,55,386,106,18,34,618
8789,55,383,108,18,30,619
8790,55,383,108,18,30,620
8791,55,379,109,18,29,621
8792,55,373,111,17,35,622
8793,55,373,111,17,35,623
8794,55,367,112,19,31,624
8795,55,367,112,19,31,625
8796,55,359,111,22,39,626
8797,55,359,111,22,39,627
8798,55,353,115,20,38,628
8799,55,353,114,21,39,629
8800,55,346,116,21,39,630
8801,55,346,116,21,39,631
8802,55,342,116,22,41,632
8803,55,334,118,23,39,633
8804,55,335,118,23,37,634
8805,55,326,120,23,43,635
8806,55,326,120,23,43,636
8807,55,318,120,25,43,637
8808,55,318,120,25,43,638
8809,55,309,123,24,44,639
