566.5,77,53,18,0,27.94,25,554,68
570,77,54,16,0,27.94,26,557,69
570,77,55,16,0,27.94,26,557,69
575.5,76,56,16,0,27.94,25,563,68
575,76,57,16,0,27.94,26,562,68
579.5,75,58,16,0,27.94,23,568,67
579.5,75,59,16,0,27.94,23,568,67
584,74.5,60,15,0,27.94,24,572,67
584,74.5,61,15,0,27.94,24,572,67
590,74,64,16,0,27.94,22,579,66
391,71,1,14,2,17.03294118,28,377,64
383.5,71,2,14,2,17.03294118,29,369,64
383.5,71,3,14,2,17.03294118,29,369,64
376,73,4,14,2,17.03294118,30,361,66
376.5,73,5,14,2,17.03294118,29,362,66
365.5,73.5,8,13,2,17.03294118,29,351,67
358,74,9,14,2,17.03294118,30,343,67
358,74,10,14,2,17.03294118,30,343,67
350.5,73.5,11,15,2,17.03294118,31,335,66
350.5,73.5,12,15,2,17.03294118,31,335,66
341.5,74.5,13,15,2,17.03294118,33,325,67
341.5,74.5,14,15,2,17.03294118,33,325,67
333,76,15,14,2,17.03294118,34,316,69
333,76,16,14,2,17.03294118,34,316,69
324,76.5,17,15,2,17.03294118,36,306,69
324,76.5,18,15,2,17.03294118,36,306,69
315,77.5,19,15,2,17.03294118,38,296,70
315,77.5,20,15,2,17.03294118,38,296,70
310.5,77,21,16,2,17.03294118,37,292,69
300,78,22,16,2,17.03294118,38,281,70
300,78,23,16,2,17.03294118,38,281,70
290.5,78,24,18,2,17.03294118,39,271,69
290.5,78,25,18,2,17.03294118,39,271,69
279.5,79,26,16,2,17.03294118,41,259,71
279.5,79,27,16,2,17.03294118,41,259,71
269.5,80,28,18,2,17.03294118,41,249,71
269.5,80,29,18,2,17.03294118,41,249,71
258,81,30,18,2,17.03294118,42,237,72
258,81,31,18,2,17.03294118,42,237,72
246,82,32,18,2,17.03294118,44,224,73
246,82,33,18,2,17.03294118,44,224,73
234,84.5,34,15,2,17.03294118,46,211,77
234,84.5,35,15,2,17.03294118,46,211,77
227,85,36,16,2,17.03294118,48,203,77
214,86,37,16,2,17.03294118,48,190,78
214,86,38,16,2,17.03294118,48,190,78
200,87,39,16,2,17.03294118,48,176,79
200,87,40,16,2,17.03294118,48,176,79
183.5,89.5,41,17,2,17.03294118,47,160,81
184,89.5,42,17,2,17.03294118,48,160,81
170.5,90,43,18,2,17.03294118,53,144,81
170.5,89.5,44,19,2,17.03294118,53,144,80
154.5,90.5,45,19,2,17.03294118,55,127,81
154.5,90.5,46,19,2,17.03294118,55,127,81
138.5,92,47,22,2,17.03294118,59,109,81
138.5,92,48,22,2,17.03294118,59,109,81
121,93.5,49,21,2,17.03294118,60,91,83
121,93.5,50,21,2,17.03294118,60,91,83
113,94.5,51,21,2,17.03294118,62,82,84
94,96,52,22,2,17.03294118,64,62,85
94,96.5,53,21,2,17.03294118,64,62,86
74,97.5,54,23,2,17.03294118,66,41,86
74,97.5,55,23,2,17.03294118,66,41,86
54,99.5,56,23,2,17.03294118,70,19,88
54,99.5,57,23,2,17.03294118,70,19,88
34.5,102,58,24,2,17.03294118,67,1,90
34.5,102,59,24,2,17.03294118,67,1,90
23,103,60,22,2,17.03294118,46,0,92
23,103,61,22,2,17.03294118,46,0,92
12,105,62,22,2,17.03294118,24,0,94
12,104,63,22,2,17.03294118,24,0,93
376,73,4,14,2,19.59428571,30,361,66
376.5,73,5,14,2,19.59428571,29,362,66
365.5,73.5,8,13,2,19.59428571,29,351,67
358,74,9,14,2,19.59428571,30,343,67
358,74,10,14,2,19.59428571,30,343,67
350.5,73.5,11,15,2,19.59428571,31,335,66
350.5,73.5,12,15,2,19.59428571,31,335,66
341.5,74.5,13,15,2,15.24,33,325,67
341.5,74.5,14,15,2,15.24,33,325,67
333,76,15,14,2,15.24,34,316,69
333,76,16,14,2,15.24,34,316,69
324,76.5,17,15,2,15.24,36,306,69
324,76.5,18,15,2,15.24,36,306,69
310.5,77,21,16,2,15.24,37,292,69
300,78,22,16,2,15.24,38,281,70
300,78,23,16,2,15.24,38,281,70
290.5,78,24,18,2,15.24,39,271,69
290.5,78,25,18,2,15.24,39,271,69
279.5,79,26,16,2,15.24,41,259,71
279.5,79,27,16,2,15.24,41,259,71
269.5,80,28,18,2,15.24,41,249,71
269.5,80,29,18,2,15.24,41,249,71
258,81,30,18,2,12.46909091,42,237,72
258,81,31,18,2,12.46909091,42,237,72
246,82,32,18,2,12.46909091,44,224,73
246,82,33,18,2,12.46909091,44,224,73
234,84.5,34,15,2,12.46909091,46,211,77
234,84.5,35,15,2,12.46909091,46,211,77
227,85,36,16,2,12.46909091,48,203,77
214,86,37,16,2,12.46909091,48,190,78
214,86,38,16,2,12.46909091,48,190,78
200,87,39,16,2,12.46909091,48,176,79
200,87,40,16,2,12.46909091,48,176,79
170.5,90,43,18,2,15.24,53,144,81
170.5,89.5,44,19,2,15.24,53,144,80
154.5,90.5,45,19,2,15.24,55,127,81
154.5,90.5,46,19,2,15.24,55,127,81
138.5,92,47,22,2,15.24,59,109,81
138.5,92,48,22,2,15.24,59,109,81
94,96,52,22,2,17.145,64,62,85
94,96.5,53,21,2,17.145,64,62,86
74,97.5,54,23,2,17.145,66,41,86
74,97.5,55,23,2,17.145,66,41,86
54,99.5,56,23,2,17.145,70,19,88
54,99.5,57,23,2,17.145,70,19,88
34.5,102,58,24,2,17.145,67,1,90
34.5,102,59,24,2,17.145,67,1,90
23,103,60,22,2,34.29,46,0,92
23,103,61,22,2,34.29,46,0,92
12,105,62,22,2,34.29,24,0,94
12,104,63,22,2,34.29,24,0,93
407,100.5,56,23,4,17.145,46,384,89
407.5,100.5,57,23,4,17.145,47,384,89
419.5,98.5,58,21,4,17.145,45,397,88
419.5,98.5,59,21,4,17.145,45,397,88
432,96.5,60,21,4,17.145,42,411,86
432,96.5,61,21,4,17.145,42,411,86
444.5,95,62,22,4,17.145,41,424,84
444.5,95,63,22,4,17.145,41,424,84
376,105,52,26,4,34.29,52,350,92
376,105,53,26,4,34.29,52,350,92
391,102.5,54,25,4,34.29,50,366,90
391,102.5,55,25,4,34.29,50,366,90
349,108.5,49,27,4,30.48,58,320,95
349,108.5,50,27,4,30.48,58,320,95
358.5,107,51,26,4,30.48,57,330,94
285.5,119,43,32,4,34.29,71,250,103
285.5,119,44,32,4,34.29,71,250,103
308,115,45,30,4,34.29,64,276,100
308,115,46,30,4,34.29,64,276,100
203,132,37,38,4,22.86,88,159,113
203,132,38,38,4,22.86,88,159,113
232,127,39,34,4,22.86,78,193,110
232,127,40,34,4,22.86,78,193,110
260,123.5,41,33,4,22.86,74,223,107
260,123.5,42,33,4,22.86,74,223,107
151,141,34,38,4,30.48,96,103,122
151.5,140.5,35,37,4,30.48,95,104,122
169.5,137,36,40,4,30.48,93,123,117
67,181,24,52,4,22.86,118,8,155
67,181.5,25,53,4,22.86,118,8,155
68.5,156,30,46,4,22.86,113,12,133
68.5,156,31,46,4,22.86,113,12,133
113,147.5,32,43,4,22.86,104,61,126
113,147.5,33,43,4,22.86,104,61,126
15.5,200,21,34,4,19.59428571,31,0,183
39.5,189,22,48,4,19.59428571,79,0,165
39.5,189,23,48,4,19.59428571,79,0,165
16,171,26,34,4,19.59428571,32,0,154
16,171,27,34,4,19.59428571,32,0,154
41,164.5,28,47,4,19.59428571,82,0,141
41,164.5,29,47,4,19.59428571,82,0,141
408,114.5,49,25,6,19.59428571,48,384,102
408,115,50,24,6,19.59428571,48,384,103
414.5,112.5,51,23,6,19.59428571,47,391,101
428,109.5,52,23,6,19.59428571,44,406,98
428,109.5,53,23,6,19.59428571,44,406,98
441,107,54,24,6,19.59428571,44,419,95
441,107,55,24,6,19.59428571,44,419,95
374.5,120.5,45,27,6,34.29,53,348,107
373,120,46,26,6,34.29,58,344,107
391,117,47,26,6,34.29,52,365,104
391,117,48,26,6,34.29,52,365,104
336.5,127,41,32,6,22.86,61,306,111
336.5,127,42,32,6,22.86,61,306,111
357,123,43,28,6,22.86,58,328,109
356.5,123.5,44,27,6,22.86,57,328,110
292,136,37,34,6,34.29,70,257,119
292,136,38,34,6,34.29,70,257,119
316,131,39,32,6,34.29,64,284,115
316,131,40,32,6,34.29,64,284,115
220.5,148,32,42,6,27.432,89,176,127
220.5,148,33,42,6,27.432,89,176,127
250.5,143.5,34,37,6,27.432,83,209,125
250.5,143.5,35,37,6,27.432,83,209,125
267,140.5,36,35,6,27.432,74,230,123
153,161.5,28,43,6,22.86,98,104,140
153,161,29,44,6,22.86,98,104,139
190,155.5,30,41,6,22.86,92,144,135
