,height,width,y,x,cog_y,cog_x,obj,frame,lane
1,53.0,66.0,229.0,310.0,255.5,343.0,0,1,1.0
2,61.0,70.0,238.0,326.0,268.5,361.0,0,2,1.0
3,61.0,70.0,238.0,326.0,268.5,361.0,0,3,1.0
4,63.0,77.0,256.0,341.0,287.5,379.5,0,4,1.0
5,63.0,77.0,256.0,341.0,287.5,379.5,0,5,1.0
6,63.0,77.0,256.0,341.0,287.5,379.5,0,6,1.0
7,80.0,89.0,282.0,371.0,322.0,415.5,0,7,1.0
8,80.0,89.0,282.0,371.0,322.0,415.5,0,8,1.0
9,85.0,97.0,302.0,392.0,344.5,440.5,0,9,1.0
10,85.0,97.0,302.0,392.0,344.5,440.5,0,10,1.0
11,85.0,111.0,322.0,416.0,364.5,471.5,0,11,1.0
12,85.0,111.0,322.0,416.0,364.5,471.5,0,12,1.0
1,23.0,46.0,117.0,540.0,128.5,563.0,1,1,1.0
2,23.0,44.0,114.0,529.0,125.5,551.0,1,2,1.0
3,23.0,44.0,114.0,529.0,125.5,551.0,1,3,1.0
4,22.0,43.0,111.0,518.0,122.0,539.5,1,4,1.0
5,22.0,43.0,111.0,518.0,122.0,539.5,1,5,1.0
6,22.0,43.0,111.0,518.0,122.0,539.5,1,6,1.0
7,22.0,41.0,107.0,502.0,118.0,522.5,1,7,1.0
8,21.0,41.0,107.0,502.0,117.5,522.5,1,8,1.0
9,20.0,40.0,106.0,491.0,116.0,511.0,1,9,1.0
10,20.0,41.0,106.0,491.0,116.0,511.5,1,10,1.0
11,20.0,38.0,103.0,482.0,113.0,501.0,1,11,1.0
12,20.0,38.0,103.0,482.0,113.0,501.0,1,12,1.0
13,18.0,37.0,101.0,473.0,110.0,491.5,1,13,1.0
14,18.0,37.0,101.0,472.0,110.0,490.5,1,14,1.0
15,18.0,36.0,100.0,468.0,109.0,486.0,1,15,1.0
16,20.0,36.0,97.0,459.0,107.0,477.0,1,16,1.0
17,20.0,36.0,97.0,459.0,107.0,477.0,1,17,1.0
18,20.0,34.0,95.0,451.0,105.0,468.0,1,18,1.0
19,20.0,34.0,95.0,451.0,105.0,468.0,1,19,1.0
20,19.0,34.0,95.0,452.0,104.5,469.0,1,20,1.0
1,15.0,31.0,95.0,435.0,102.5,450.5,2,1,1.0
2,14.0,30.0,94.0,427.0,101.0,442.0,2,2,1.0
3,14.0,30.0,94.0,427.0,101.0,442.0,2,3,1.0
4,17.0,19.0,74.0,155.0,82.5,164.5,3,4,1.0
6,17.0,19.0,74.0,155.0,82.5,164.5,3,6,1.0
7,17.0,20.0,75.0,157.0,83.5,167.0,3,7,1.0
8,17.0,20.0,75.0,157.0,83.5,167.0,3,8,1.0
9,17.0,21.0,76.0,158.0,84.5,168.5,3,9,1.0
10,17.0,21.0,76.0,158.0,84.5,168.5,3,10,1.0
11,18.0,21.0,76.0,161.0,85.0,171.5,3,11,1.0
12,18.0,21.0,76.0,161.0,85.0,171.5,3,12,1.0
13,18.0,21.0,78.0,163.0,87.0,173.5,3,13,1.0
14,18.0,21.0,78.0,163.0,87.0,173.5,3,14,1.0
16,17.0,22.0,80.0,166.0,88.5,177.0,3,16,1.0
17,17.0,22.0,80.0,166.0,88.5,177.0,3,17,1.0
18,17.0,22.0,81.0,168.0,89.5,179.0,3,18,1.0
19,17.0,22.0,81.0,168.0,89.5,179.0,3,19,1.0
20,17.0,22.0,81.0,168.0,89.5,179.0,3,20,1.0
21,19.0,24.0,81.0,170.0,90.5,182.0,3,21,1.0
22,19.0,24.0,81.0,170.0,90.5,182.0,3,22,1.0
23,21.0,23.0,82.0,173.0,92.5,184.5,3,23,1.0
24,21.0,23.0,82.0,173.0,92.5,184.5,3,24,1.0
25,21.0,24.0,83.0,175.0,93.5,187.0,3,25,1.0
26,21.0,23.0,84.0,175.0,94.5,186.5,3,26,1.0
27,20.0,24.0,86.0,177.0,96.0,189.0,3,27,1.0
28,20.0,24.0,86.0,177.0,96.0,189.0,3,28,1.0
29,22.0,25.0,86.0,179.0,97.0,191.5,3,29,1.0
30,22.0,25.0,86.0,179.0,97.0,191.5,3,30,1.0
31,22.0,24.0,87.0,182.0,98.0,194.0,3,31,1.0
32,22.0,24.0,87.0,182.0,98.0,194.0,3,32,1.0
33,22.0,26.0,90.0,184.0,101.0,197.0,3,33,1.0
34,22.0,25.0,90.0,185.0,101.0,197.5,3,34,1.0
35,20.0,25.0,93.0,187.0,103.0,199.5,3,35,1.0
36,20.0,25.0,93.0,187.0,103.0,199.5,3,36,1.0
37,22.0,26.0,94.0,190.0,105.0,203.0,3,37,1.0
38,22.0,25.0,94.0,190.0,105.0,202.5,3,38,1.0
39,22.0,27.0,95.0,192.0,106.0,205.5,3,39,1.0
40,22.0,27.0,95.0,192.0,106.0,205.5,3,40,1.0
41,22.0,27.0,97.0,195.0,108.0,208.5,3,41,1.0
42,22.0,27.0,97.0,195.0,108.0,208.5,3,42,1.0
43,23.0,28.0,99.0,198.0,110.5,212.0,3,43,1.0
44,23.0,28.0,99.0,198.0,110.5,212.0,3,44,1.0
45,23.0,29.0,101.0,201.0,112.5,215.5,3,45,1.0
46,23.0,29.0,101.0,201.0,112.5,215.5,3,46,1.0
47,24.0,29.0,103.0,205.0,115.0,219.5,3,47,1.0
48,24.0,29.0,103.0,205.0,115.0,219.5,3,48,1.0
49,25.0,31.0,105.0,207.0,117.5,222.5,3,49,1.0
50,25.0,31.0,105.0,207.0,117.5,222.5,3,50,1.0
51,26.0,32.0,107.0,211.0,120.0,227.0,3,51,1.0
52,26.0,32.0,107.0,211.0,120.0,227.0,3,52,1.0
53,25.0,33.0,111.0,214.0,123.5,230.5,3,53,1.0
54,25.0,33.0,111.0,214.0,123.5,230.5,3,54,1.0
55,29.0,34.0,111.0,218.0,125.5,235.0,3,55,1.0
56,29.0,34.0,111.0,218.0,125.5,235.0,3,56,1.0
57,30.0,34.0,113.0,223.0,128.0,240.0,3,57,1.0
58,30.0,34.0,113.0,223.0,128.0,240.0,3,58,1.0
59,32.0,35.0,116.0,227.0,132.0,244.5,3,59,1.0
60,31.0,35.0,116.0,227.0,131.5,244.5,3,60,1.0
61,33.0,37.0,118.0,231.0,134.5,249.5,3,61,1.0
62,33.0,37.0,118.0,231.0,134.5,249.5,3,62,1.0
63,34.0,38.0,122.0,236.0,139.0,255.0,3,63,1.0
64,34.0,38.0,122.0,236.0,139.0,255.0,3,64,1.0
65,33.0,39.0,127.0,242.0,143.5,261.5,3,65,1.0
66,33.0,39.0,127.0,242.0,143.5,261.5,3,66,1.0
67,37.0,41.0,128.0,246.0,146.5,266.5,3,67,1.0
