,height,width,y,x,cog_y,cog_x,obj,frame
1,53.0,66.0,229.0,310.0,255.5,343.0,0,1
2,61.0,70.0,238.0,326.0,268.5,361.0,0,2
3,61.0,70.0,238.0,326.0,268.5,361.0,0,3
4,63.0,77.0,256.0,341.0,287.5,379.5,0,4
5,63.0,77.0,256.0,341.0,287.5,379.5,0,5
6,63.0,77.0,256.0,341.0,287.5,379.5,0,6
7,80.0,89.0,282.0,371.0,322.0,415.5,0,7
8,80.0,89.0,282.0,371.0,322.0,415.5,0,8
9,85.0,97.0,302.0,392.0,344.5,440.5,0,9
10,85.0,97.0,302.0,392.0,344.5,440.5,0,10
11,85.0,111.0,322.0,416.0,364.5,471.5,0,11
12,85.0,111.0,322.0,416.0,364.5,471.5,0,12
1,23.0,46.0,117.0,540.0,128.5,563.0,1,1
2,23.0,44.0,114.0,529.0,125.5,551.0,1,2
3,23.0,44.0,114.0,529.0,125.5,551.0,1,3
4,22.0,43.0,111.0,518.0,122.0,539.5,1,4
5,22.0,43.0,111.0,518.0,122.0,539.5,1,5
6,22.0,43.0,111.0,518.0,122.0,539.5,1,6
7,22.0,41.0,107.0,502.0,118.0,522.5,1,7
8,21.0,41.0,107.0,502.0,117.5,522.5,1,8
9,20.0,40.0,106.0,491.0,116.0,511.0,1,9
10,20.0,41.0,106.0,491.0,116.0,511.5,1,10
11,20.0,38.0,103.0,482.0,113.0,501.0,1,11
12,20.0,38.0,103.0,482.0,113.0,501.0,1,12
13,18.0,37.0,101.0,473.0,110.0,491.5,1,13
14,18.0,37.0,101.0,472.0,110.0,490.5,1,14
15,18.0,36.0,100.0,468.0,109.0,486.0,1,15
16,20.0,36.0,97.0,459.0,107.0,477.0,1,16
17,20.0,36.0,97.0,459.0,107.0,477.0,1,17
18,20.0,34.0,95.0,451.0,105.0,468.0,1,18
19,20.0,34.0,95.0,451.0,105.0,468.0,1,19
20,19.0,34.0,95.0,452.0,104.5,469.0,1,20
1,15.0,31.0,95.0,435.0,102.5,450.5,2,1
2,14.0,30.0,94.0,427.0,101.0,442.0,2,2
3,14.0,30.0,94.0,427.0,101.0,442.0,2,3
4,17.0,19.0,74.0,155.0,82.5,164.5,3,4
6,17.0,19.0,74.0,155.0,82.5,164.5,3,6
7,17.0,20.0,75.0,157.0,83.5,167.0,3,7
8,17.0,20.0,75.0,157.0,83.5,167.0,3,8
9,17.0,21.0,76.0,158.0,84.5,168.5,3,9
10,17.0,21.0,76.0,158.0,84.5,168.5,3,10
11,18.0,21.0,76.0,161.0,85.0,171.5,3,11
12,18.0,21.0,76.0,161.0,85.0,171.5,3,12
13,18.0,21.0,78.0,163.0,87.0,173.5,3,13
14,18.0,21.0,78.0,163.0,87.0,173.5,3,14
16,17.0,22.0,80.0,166.0,88.5,177.0,3,16
17,17.0,22.0,80.0,166.0,88.5,177.0,3,17
18,17.0,22.0,81.0,168.0,89.5,179.0,3,18
19,17.0,22.0,81.0,168.0,89.5,179.0,3,19
20,17.0,22.0,81.0,168.0,89.5,179.0,3,20
21,19.0,24.0,81.0,170.0,90.5,182.0,3,21
22,19.0,24.0,81.0,170.0,90.5,182.0,3,22
23,21.0,23.0,82.0,173.0,92.5,184.5,3,23
24,21.0,23.0,82.0,173.0,92.5,184.5,3,24
25,21.0,24.0,83.0,175.0,93.5,187.0,3,25
26,21.0,23.0,84.0,175.0,94.5,186.5,3,26
27,20.0,24.0,86.0,177.0,96.0,189.0,3,27
28,20.0,24.0,86.0,177.0,96.0,189.0,3,28
29,22.0,25.0,86.0,179.0,97.0,191.5,3,29
30,22.0,25.0,86.0,179.0,97.0,191.5,3,30
31,22.0,24.0,87.0,182.0,98.0,194.0,3,31
32,22.0,24.0,87.0,182.0,98.0,194.0,3,32
33,22.0,26.0,90.0,184.0,101.0,197.0,3,33
34,22.0,25.0,90.0,185.0,101.0,197.5,3,34
35,20.0,25.0,93.0,187.0,103.0,199.5,3,35
36,20.0,25.0,93.0,187.0,103.0,199.5,3,36
37,22.0,26.0,94.0,190.0,105.0,203.0,3,37
38,22.0,25.0,94.0,190.0,105.0,202.5,3,38
39,22.0,27.0,95.0,192.0,106.0,205.5,3,39
40,22.0,27.0,95.0,192.0,106.0,205.5,3,40
41,22.0,27.0,97.0,195.0,108.0,208.5,3,41
42,22.0,27.0,97.0,195.0,108.0,208.5,3,42
43,23.0,28.0,99.0,198.0,110.5,212.0,3,43
44,23.0,28.0,99.0,198.0,110.5,212.0,3,44
45,23.0,29.0,101.0,201.0,112.5,215.5,3,45
46,23.0,29.0,101.0,201.0,112.5,215.5,3,46
47,24.0,29.0,103.0,205.0,115.0,219.5,3,47
48,24.0,29.0,103.0,205.0,115.0,219.5,3,48
49,25.0,31.0,105.0,207.0,117.5,222.5,3,49
50,25.0,31.0,105.0,207.0,117.5,222.5,3,50
51,26.0,32.0,107.0,211.0,120.0,227.0,3,51
52,26.0,32.0,107.0,211.0,120.0,227.0,3,52
53,25.0,33.0,111.0,214.0,123.5,230.5,3,53
54,25.0,33.0,111.0,214.0,123.5,230.5,3,54
55,29.0,34.0,111.0,218.0,125.5,235.0,3,55
56,29.0,34.0,111.0,218.0,125.5,235.0,3,56
57,30.0,34.0,113.0,223.0,128.0,240.0,3,57
58,30.0,34.0,113.0,223.0,128.0,240.0,3,58
59,32.0,35.0,116.0,227.0,132.0,244.5,3,59
60,31.0,35.0,116.0,227.0,131.5,244.5,3,60
61,33.0,37.0,118.0,231.0,134.5,249.5,3,61
62,33.0,37.0,118.0,231.0,134.5,249.5,3,62
63,34.0,38.0,122.0,236.0,139.0,255.0,3,63
64,34.0,38.0,122.0,236.0,139.0,255.0,3,64
65,33.0,39.0,127.0,242.0,143.5,261.5,3,65
66,33.0,39.0,127.0,242.0,143.5,261.5,3,66
67,37.0,41.0,128.0,246.0,146.5,266.5,3,67
68,37.0,41.0,128.0,246.0,146.5,266.5,3,68
69,39.0,44.0,131.0,251.0,150.5,273.0,3,69
70,39.0,44.0,131.0,251.0,150.5,273.0,3,70
71,40.0,46.0,135.0,257.0,155.0,280.0,3,71
72,40.0,46.0,135.0,257.0,155.0,280.0,3,72
73,42.0,48.0,139.0,264.0,160.0,288.0,3,73
74,42.0,48.0,139.0,264.0,160.0,288.0,3,74
75,43.0,49.0,144.0,271.0,165.5,295.5,3,75
76,43.0,49.0,144.0,271.0,165.5,295.5,3,76
77,46.0,53.0,148.0,277.0,171.0,303.5,3,77
78,46.0,53.0,148.0,277.0,171.0,303.5,3,78
79,48.0,54.0,150.0,281.0,174.0,308.0,3,79
80,48.0,54.0,150.0,281.0,174.0,308.0,3,80
81,48.0,57.0,160.0,294.0,184.0,322.5,3,81
82,48.0,57.0,160.0,294.0,184.0,322.5,3,82
83,54.0,62.0,164.0,301.0,191.0,332.0,3,83
84,54.0,62.0,164.0,301.0,191.0,332.0,3,84
85,54.0,64.0,171.0,313.0,198.0,345.0,3,85
86,53.0,64.0,172.0,313.0,198.5,345.0,3,86
87,60.0,71.0,177.0,322.0,207.0,357.5,3,87
88,60.0,71.0,177.0,322.0,207.0,357.5,3,88
89,62.0,75.0,184.0,333.0,215.0,370.5,3,89
90,62.0,75.0,184.0,333.0,215.0,370.5,3,90
91,68.0,80.0,191.0,346.0,225.0,386.0,3,91
92,68.0,80.0,191.0,346.0,225.0,386.0,3,92
93,71.0,84.0,200.0,360.0,235.5,402.0,3,93
94,70.0,84.0,201.0,360.0,236.0,402.0,3,94
95,80.0,92.0,208.0,375.0,248.0,421.0,3,95
96,80.0,92.0,208.0,375.0,248.0,421.0,3,96
97,89.0,102.0,218.0,391.0,262.5,442.0,3,97
98,89.0,102.0,218.0,391.0,262.5,442.0,3,98
99,94.0,106.0,230.0,412.0,277.0,465.0,3,99
100,94.0,106.0,230.0,412.0,277.0,465.0,3,100
101,104.0,120.0,244.0,430.0,296.0,490.0,3,101
102,104.0,120.0,244.0,430.0,296.0,490.0,3,102
103,112.0,134.0,258.0,452.0,314.0,519.0,3,103
104,112.0,134.0,258.0,452.0,314.0,519.0,3,104
105,124.0,141.0,275.0,480.0,337.0,550.5,3,105
106,124.0,141.0,275.0,480.0,337.0,550.5,3,106
107,114.0,160.0,293.0,510.0,350.0,590.0,3,107
108,114.0,160.0,293.0,510.0,350.0,590.0,3,108
21,18.0,34.0,93.0,439.0,102.0,456.0,4,21
22,18.0,35.0,93.0,439.0,102.0,456.5,4,22
23,17.0,32.0,91.0,432.0,99.5,448.0,4,23
24,17.0,32.0,91.0,432.0,99.5,448.0,4,24
25,17.0,32.0,90.0,424.0,98.5,440.0,4,25
26,17.0,32.0,90.0,424.0,98.5,440.0,4,26
27,17.0,31.0,88.0,417.0,96.5,432.5,4,27
28,17.0,31.0,88.0,417.0,96.5,432.5,4,28
29,17.0,30.0,86.0,411.0,94.5,426.0,4,29
30,17.0,30.0,86.0,411.0,94.5,426.0,4,30
31,16.0,30.0,85.0,404.0,93.0,419.0,4,31
32,16.0,30.0,85.0,404.0,93.0,419.0,4,32
33,17.0,29.0,83.0,397.0,91.5,411.5,4,33
34,17.0,29.0,83.0,397.0,91.5,411.5,4,34
37,14.0,28.0,82.0,386.0,89.0,400.0,4,37
38,14.0,28.0,82.0,386.0,89.0,400.0,4,38
39,16.0,26.0,79.0,381.0,87.0,394.0,4,39
40,16.0,26.0,79.0,381.0,87.0,394.0,4,40
41,14.0,26.0,79.0,376.0,86.0,389.0,4,41
42,14.0,27.0,79.0,375.0,86.0,388.5,4,42
45,15.0,25.0,76.0,365.0,83.5,377.5,4,45
46,15.0,25.0,76.0,365.0,83.5,377.5,4,46
47,15.0,25.0,75.0,360.0,82.5,372.5,4,47
48,15.0,25.0,75.0,360.0,82.5,372.5,4,48
25,27.0,25.0,173.0,773.0,186.5,785.5,5,25
26,27.0,25.0,173.0,773.0,186.5,785.5,5,26
27,31.0,49.0,168.0,749.0,183.5,773.5,5,27
28,31.0,49.0,168.0,749.0,183.5,773.5,5,28
29,35.0,71.0,163.0,726.0,180.5,761.5,5,29
30,34.0,71.0,163.0,726.0,180.0,761.5,5,30
31,31.0,70.0,158.0,704.0,173.5,739.0,5,31
32,31.0,70.0,158.0,704.0,173.5,739.0,5,32
33,30.0,66.0,153.0,686.0,168.0,719.0,5,33
34,30.0,66.0,153.0,686.0,168.0,719.0,5,34
35,28.0,63.0,149.0,666.0,163.0,697.5,5,35
36,28.0,63.0,149.0,666.0,163.0,697.5,5,36
37,29.0,58.0,143.0,649.0,157.5,678.0,5,37
38,29.0,58.0,143.0,649.0,157.5,678.0,5,38
39,28.0,54.0,139.0,633.0,153.0,660.0,5,39
40,28.0,55.0,138.0,633.0,152.0,660.5,5,40
41,27.0,53.0,135.0,617.0,148.5,643.5,5,41
42,27.0,53.0,135.0,617.0,148.5,643.5,5,42
43,27.0,50.0,132.0,601.0,145.5,626.0,5,43
44,26.0,51.0,132.0,601.0,145.0,626.5,5,44
45,24.0,49.0,128.0,587.0,140.0,611.5,5,45
46,24.0,49.0,128.0,587.0,140.0,611.5,5,46
47,23.0,48.0,125.0,573.0,136.5,597.0,5,47
48,23.0,48.0,125.0,573.0,136.5,597.0,5,48
49,24.0,45.0,122.0,561.0,134.0,583.5,5,49
50,24.0,45.0,122.0,561.0,134.0,583.5,5,50
51,22.0,45.0,119.0,547.0,130.0,569.5,5,51
52,22.0,45.0,119.0,547.0,130.0,569.5,5,52
53,22.0,42.0,117.0,537.0,128.0,558.0,5,53
54,22.0,42.0,117.0,537.0,128.0,558.0,5,54
55,22.0,41.0,113.0,525.0,124.0,545.5,5,55
56,22.0,41.0,113.0,525.0,124.0,545.5,5,56
57,22.0,39.0,110.0,514.0,121.0,533.5,5,57
58,22.0,39.0,110.0,514.0,121.0,533.5,5,58
59,20.0,38.0,108.0,503.0,118.0,522.0,5,59
60,20.0,38.0,108.0,503.0,118.0,522.0,5,60
61,21.0,36.0,106.0,494.0,116.5,512.0,5,61
62,21.0,36.0,106.0,494.0,116.5,512.0,5,62
63,21.0,37.0,103.0,483.0,113.5,501.5,5,63
64,21.0,37.0,103.0,483.0,113.5,501.5,5,64
33,14.0,32.0,140.0,765.0,147.0,781.0,6,33
34,14.0,32.0,140.0,765.0,147.0,781.0,6,34
53,17.0,21.0,110.0,132.0,118.5,142.5,7,53
57,17.0,22.0,114.0,134.0,122.5,145.0,7,57
59,18.0,22.0,115.0,136.0,124.0,147.0,7,59
61,19.0,21.0,116.0,138.0,125.5,148.5,7,61
62,18.0,21.0,116.0,138.0,125.0,148.5,7,62
65,18.0,22.0,121.0,141.0,130.0,152.0,7,65
66,18.0,22.0,121.0,141.0,130.0,152.0,7,66
67,19.0,22.0,122.0,143.0,131.5,154.0,7,67
68,19.0,22.0,122.0,143.0,131.5,154.0,7,68
69,19.0,23.0,124.0,145.0,133.5,156.5,7,69
70,19.0,23.0,124.0,145.0,133.5,156.5,7,70
71,19.0,23.0,127.0,147.0,136.5,158.5,7,71
72,19.0,23.0,127.0,147.0,136.5,158.5,7,72
73,20.0,23.0,128.0,149.0,138.0,160.5,7,73
74,20.0,23.0,128.0,149.0,138.0,160.5,7,74
75,20.0,25.0,131.0,150.0,141.0,162.5,7,75
76,20.0,25.0,131.0,150.0,141.0,162.5,7,76
77,20.0,25.0,134.0,152.0,144.0,164.5,7,77
78,20.0,25.0,134.0,152.0,144.0,164.5,7,78
79,22.0,25.0,134.0,153.0,145.0,165.5,7,79
80,22.0,25.0,134.0,153.0,145.0,165.5,7,80
81,21.0,26.0,138.0,156.0,148.5,169.0,7,81
82,21.0,26.0,138.0,156.0,148.5,169.0,7,82
83,24.0,27.0,140.0,158.0,152.0,171.5,7,83
84,24.0,27.0,140.0,158.0,152.0,171.5,7,84
85,22.0,25.0,144.0,161.0,155.0,173.5,7,85
86,22.0,25.0,144.0,161.0,155.0,173.5,7,86
87,24.0,29.0,146.0,162.0,158.0,176.5,7,87
88,24.0,29.0,146.0,162.0,158.0,176.5,7,88
89,23.0,29.0,150.0,165.0,161.5,179.5,7,89
90,23.0,29.0,150.0,165.0,161.5,179.5,7,90
67,20.0,35.0,99.0,465.0,109.0,482.5,8,67
68,20.0,35.0,99.0,465.0,109.0,482.5,8,68
69,20.0,34.0,96.0,457.0,106.0,474.0,8,69
70,20.0,34.0,96.0,457.0,106.0,474.0,8,70
71,18.0,32.0,96.0,449.0,105.0,465.0,8,71
72,18.0,32.0,96.0,449.0,105.0,465.0,8,72
73,19.0,32.0,93.0,441.0,102.5,457.0,8,73
74,19.0,31.0,93.0,441.0,102.5,456.5,8,74
75,18.0,33.0,91.0,432.0,100.0,448.5,8,75
76,18.0,33.0,91.0,432.0,100.0,448.5,8,76
79,19.0,30.0,88.0,422.0,97.5,437.0,8,79
80,19.0,30.0,88.0,422.0,97.5,437.0,8,80
81,17.0,29.0,87.0,413.0,95.5,427.5,8,81
82,17.0,29.0,87.0,413.0,95.5,427.5,8,82
83,17.0,28.0,85.0,406.0,93.5,420.0,8,83
84,18.0,28.0,85.0,406.0,94.0,420.0,8,84
85,17.0,27.0,84.0,400.0,92.5,413.5,8,85
86,17.0,27.0,84.0,400.0,92.5,413.5,8,86
89,15.0,28.0,82.0,386.0,89.5,400.0,8,89
90,15.0,28.0,82.0,386.0,89.5,400.0,8,90
91,15.0,27.0,81.0,382.0,88.5,395.5,8,91
92,15.0,27.0,81.0,382.0,88.5,395.5,8,92
95,45.0,96.0,150.0,694.0,172.5,742.0,9,95
96,46.0,97.0,149.0,694.0,172.0,742.5,9,96
97,17.0,47.0,170.0,465.0,178.5,488.5,10,97
98,17.0,47.0,170.0,465.0,178.5,488.5,10,98
99,18.0,46.0,170.0,455.0,179.0,478.0,10,99
100,18.0,47.0,170.0,455.0,179.0,478.5,10,100
99,29.0,34.0,166.0,178.0,180.5,195.0,11,99
100,29.0,34.0,166.0,178.0,180.5,195.0,11,100
103,33.0,40.0,174.0,184.0,190.5,204.0,11,103
104,33.0,40.0,174.0,184.0,190.5,204.0,11,104
105,34.0,40.0,178.0,188.0,195.0,208.0,11,105
106,33.0,40.0,179.0,188.0,195.5,208.0,11,106
107,41.0,42.0,178.0,192.0,198.5,213.0,11,107
108,41.0,42.0,178.0,192.0,198.5,213.0,11,108
109,39.0,41.0,187.0,197.0,206.5,217.5,11,109
110,39.0,41.0,187.0,197.0,206.5,217.5,11,110
111,39.0,44.0,194.0,200.0,213.5,222.0,11,111
112,40.0,44.0,193.0,200.0,213.0,222.0,11,112
