,height,width,y,x,cog_y,cog_x,obj,frame
113,42.0,45.0,201.0,206.0,222.0,228.5,11,113
114,42.0,45.0,201.0,206.0,222.0,228.5,11,114
115,43.0,49.0,205.0,210.0,226.5,234.5,11,115
116,43.0,49.0,205.0,210.0,226.5,234.5,11,116
117,45.0,51.0,214.0,217.0,236.5,242.5,11,117
118,45.0,51.0,214.0,217.0,236.5,242.5,11,118
119,47.0,54.0,219.0,220.0,242.5,247.0,11,119
120,48.0,54.0,219.0,220.0,243.0,247.0,11,120
121,50.0,57.0,229.0,229.0,254.0,257.5,11,121
122,50.0,57.0,229.0,229.0,254.0,257.5,11,122
124,48.0,60.0,237.0,235.0,261.0,265.0,11,124
125,54.0,63.0,245.0,243.0,272.0,274.5,11,125
126,54.0,63.0,245.0,243.0,272.0,274.5,11,126
127,54.0,66.0,258.0,252.0,285.0,285.0,11,127
128,54.0,66.0,258.0,252.0,285.0,285.0,11,128
129,56.0,71.0,266.0,262.0,294.0,297.5,11,129
130,56.0,71.0,266.0,262.0,294.0,297.5,11,130
101,41.0,76.0,131.0,635.0,151.5,673.0,12,101
102,40.0,77.0,132.0,635.0,152.0,673.5,12,102
103,35.0,75.0,133.0,615.0,150.5,652.5,12,103
104,35.0,75.0,133.0,615.0,150.5,652.5,12,104
105,33.0,69.0,130.0,600.0,146.5,634.5,12,105
106,33.0,69.0,130.0,600.0,146.5,634.5,12,106
107,31.0,64.0,127.0,585.0,142.5,617.0,12,107
108,31.0,64.0,127.0,585.0,142.5,617.0,12,108
111,29.0,60.0,119.0,555.0,133.5,585.0,12,111
112,29.0,60.0,119.0,555.0,133.5,585.0,12,112
113,27.0,59.0,117.0,541.0,130.5,570.5,12,113
114,27.0,59.0,117.0,541.0,130.5,570.5,12,114
125,23.0,46.0,100.0,472.0,111.5,495.0,13,125
126,23.0,45.0,100.0,473.0,111.5,495.5,13,126
127,22.0,43.0,97.0,464.0,108.0,485.5,13,127
128,22.0,43.0,97.0,464.0,108.0,485.5,13,128
129,20.0,42.0,97.0,455.0,107.0,476.0,13,129
130,20.0,42.0,97.0,455.0,107.0,476.0,13,130
131,17.0,31.0,98.0,455.0,106.5,470.5,13,131
132,17.0,31.0,98.0,455.0,106.5,470.5,13,132
133,18.0,38.0,94.0,437.0,103.0,456.0,13,133
134,18.0,38.0,94.0,437.0,103.0,456.0,13,134
135,17.0,39.0,92.0,429.0,100.5,448.5,13,135
136,17.0,39.0,92.0,429.0,100.5,448.5,13,136
137,20.0,39.0,86.0,420.0,96.0,439.5,13,137
138,20.0,39.0,86.0,420.0,96.0,439.5,13,138
139,18.0,38.0,86.0,413.0,95.0,432.0,13,139
140,18.0,38.0,86.0,413.0,95.0,432.0,13,140
141,15.0,34.0,88.0,407.0,95.5,424.0,13,141
142,15.0,35.0,88.0,407.0,95.5,424.5,13,142
143,18.0,29.0,98.0,417.0,107.0,431.5,13,143
144,18.0,29.0,98.0,417.0,107.0,431.5,13,144
145,19.0,29.0,94.0,408.0,103.5,422.5,13,145
146,19.0,29.0,94.0,408.0,103.5,422.5,13,146
125,22.0,46.0,128.0,527.0,139.0,550.0,14,125
126,22.0,46.0,128.0,526.0,139.0,549.0,14,126
129,20.0,40.0,119.0,497.0,129.0,517.0,14,129
130,20.0,40.0,119.0,497.0,129.0,517.0,14,130
131,19.0,40.0,117.0,484.0,126.5,504.0,14,131
132,19.0,40.0,117.0,484.0,126.5,504.0,14,132
133,18.0,36.0,113.0,472.0,122.0,490.0,14,133
134,18.0,36.0,113.0,472.0,122.0,490.0,14,134
135,19.0,36.0,110.0,459.0,119.5,477.0,14,135
136,19.0,36.0,110.0,459.0,119.5,477.0,14,136
137,16.0,38.0,108.0,446.0,116.0,465.0,14,137
138,16.0,38.0,108.0,446.0,116.0,465.0,14,138
139,17.0,34.0,103.0,436.0,111.5,453.0,14,139
140,17.0,34.0,103.0,436.0,111.5,453.0,14,140
137,30.0,66.0,160.0,695.0,175.0,728.0,15,137
138,30.0,66.0,159.0,695.0,174.0,728.0,15,138
139,24.0,59.0,154.0,675.0,166.0,704.5,15,139
140,24.0,59.0,154.0,675.0,166.0,704.5,15,140
141,25.0,54.0,148.0,655.0,160.5,682.0,15,141
142,25.0,54.0,148.0,655.0,160.5,682.0,15,142
143,25.0,53.0,143.0,635.0,155.5,661.5,15,143
144,25.0,53.0,143.0,635.0,155.5,661.5,15,144
145,25.0,51.0,138.0,617.0,150.5,642.5,15,145
146,24.0,51.0,138.0,617.0,150.0,642.5,15,146
147,26.0,49.0,134.0,600.0,147.0,624.5,15,147
148,27.0,48.0,133.0,601.0,146.5,625.0,15,148
149,23.0,46.0,130.0,585.0,141.5,608.0,15,149
150,23.0,46.0,130.0,585.0,141.5,608.0,15,150
151,23.0,45.0,125.0,569.0,136.5,591.5,15,151
152,23.0,45.0,125.0,569.0,136.5,591.5,15,152
153,23.0,42.0,122.0,556.0,133.5,577.0,15,153
154,23.0,42.0,122.0,556.0,133.5,577.0,15,154
155,21.0,41.0,119.0,542.0,129.5,562.5,15,155
156,21.0,41.0,119.0,542.0,129.5,562.5,15,156
161,20.0,36.0,110.0,505.0,120.0,523.0,15,161
162,19.0,37.0,111.0,505.0,120.5,523.5,15,162
163,19.0,35.0,107.0,494.0,116.5,511.5,15,163
164,18.0,35.0,108.0,494.0,117.0,511.5,15,164
165,17.0,34.0,106.0,483.0,114.5,500.0,15,165
166,17.0,34.0,106.0,483.0,114.5,500.0,15,166
169,18.0,33.0,100.0,464.0,109.0,480.5,15,169
170,18.0,33.0,100.0,464.0,109.0,480.5,15,170
171,17.0,30.0,98.0,455.0,106.5,470.0,15,171
172,17.0,30.0,98.0,455.0,106.5,470.0,15,172
143,17.0,33.0,83.0,398.0,91.5,414.5,16,143
144,17.0,33.0,83.0,398.0,91.5,414.5,16,144
145,17.0,31.0,81.0,393.0,89.5,408.5,16,145
146,17.0,31.0,81.0,393.0,89.5,408.5,16,146
149,19.0,34.0,76.0,380.0,85.5,397.0,16,149
150,19.0,34.0,76.0,380.0,85.5,397.0,16,150
151,17.0,32.0,76.0,375.0,84.5,391.0,16,151
152,17.0,31.0,76.0,375.0,84.5,390.5,16,152
149,20.0,35.0,28.0,579.0,38.0,596.5,17,149
150,20.0,35.0,28.0,579.0,38.0,596.5,17,150
163,21.0,27.0,69.0,343.0,79.5,356.5,18,163
164,22.0,27.0,69.0,343.0,80.0,356.5,18,164
165,21.0,27.0,69.0,337.0,79.5,350.5,18,165
166,21.0,27.0,69.0,337.0,79.5,350.5,18,166
167,20.0,25.0,68.0,333.0,78.0,345.5,18,167
168,19.0,26.0,68.0,333.0,77.5,346.0,18,168
169,17.0,26.0,69.0,327.0,77.5,340.0,18,169
170,18.0,26.0,68.0,327.0,77.0,340.0,18,170
171,15.0,22.0,70.0,323.0,77.5,334.0,18,171
172,15.0,22.0,70.0,323.0,77.5,334.0,18,172
176,16.0,25.0,64.0,317.0,72.0,329.5,18,176
177,17.0,28.0,63.0,309.0,71.5,323.0,18,177
178,17.0,28.0,63.0,309.0,71.5,323.0,18,178
179,16.0,29.0,63.0,304.0,71.0,318.5,18,179
167,27.0,38.0,174.0,760.0,187.5,779.0,19,167
168,27.0,38.0,174.0,760.0,187.5,779.0,19,168
169,29.0,65.0,168.0,734.0,182.5,766.5,19,169
170,29.0,65.0,168.0,734.0,182.5,766.5,19,170
171,26.0,65.0,161.0,710.0,174.0,742.5,19,171
172,26.0,65.0,161.0,710.0,174.0,742.5,19,172
173,26.0,60.0,156.0,686.0,169.0,716.0,19,173
174,26.0,60.0,156.0,687.0,169.0,717.0,19,174
175,25.0,56.0,150.0,667.0,162.5,695.0,19,175
176,25.0,56.0,150.0,667.0,162.5,695.0,19,176
177,24.0,55.0,145.0,645.0,157.0,672.5,19,177
178,24.0,55.0,145.0,645.0,157.0,672.5,19,178
179,22.0,51.0,141.0,627.0,152.0,652.5,19,179
180,22.0,51.0,141.0,627.0,152.0,652.5,19,180
181,21.0,48.0,137.0,609.0,147.5,633.0,19,181
182,21.0,48.0,137.0,609.0,147.5,633.0,19,182
183,21.0,45.0,132.0,593.0,142.5,615.5,19,183
184,21.0,45.0,132.0,593.0,142.5,615.5,19,184
185,20.0,44.0,128.0,578.0,138.0,600.0,19,185
186,20.0,44.0,128.0,578.0,138.0,600.0,19,186
187,21.0,42.0,124.0,563.0,134.5,584.0,19,187
188,21.0,42.0,124.0,563.0,134.5,584.0,19,188
189,19.0,41.0,120.0,549.0,129.5,569.5,19,189
190,19.0,41.0,120.0,549.0,129.5,569.5,19,190
191,19.0,39.0,118.0,535.0,127.5,554.5,19,191
192,19.0,39.0,118.0,535.0,127.5,554.5,19,192
193,18.0,38.0,115.0,522.0,124.0,541.0,19,193
194,18.0,38.0,115.0,522.0,124.0,541.0,19,194
195,19.0,36.0,111.0,510.0,120.5,528.0,19,195
196,19.0,36.0,111.0,510.0,120.5,528.0,19,196
197,17.0,36.0,109.0,498.0,117.5,516.0,19,197
198,17.0,36.0,109.0,498.0,117.5,516.0,19,198
199,17.0,36.0,106.0,486.0,114.5,504.0,19,199
200,17.0,36.0,106.0,486.0,114.5,504.0,19,200
201,17.0,33.0,103.0,477.0,111.5,493.5,19,201
202,17.0,33.0,103.0,477.0,111.5,493.5,19,202
203,16.0,32.0,101.0,467.0,109.0,483.0,19,203
204,16.0,32.0,101.0,467.0,109.0,483.0,19,204
171,26.0,34.0,240.0,111.0,253.0,128.0,20,171
172,26.0,35.0,240.0,111.0,253.0,128.5,20,172
173,28.0,57.0,240.0,89.0,254.0,117.5,20,173
174,28.0,57.0,240.0,89.0,254.0,117.5,20,174
175,30.0,62.0,241.0,68.0,256.0,99.0,20,175
176,30.0,62.0,241.0,68.0,256.0,99.0,20,176
177,30.0,65.0,243.0,46.0,258.0,78.5,20,177
178,30.0,65.0,243.0,46.0,258.0,78.5,20,178
175,18.0,18.0,88.0,150.0,97.0,159.0,21,175
176,18.0,19.0,88.0,149.0,97.0,158.5,21,176
177,18.0,20.0,89.0,150.0,98.0,160.0,21,177
178,18.0,20.0,89.0,150.0,98.0,160.0,21,178
183,18.0,21.0,95.0,156.0,104.0,166.5,21,183
184,18.0,21.0,95.0,156.0,104.0,166.5,21,184
185,20.0,22.0,95.0,157.0,105.0,168.0,21,185
186,20.0,22.0,95.0,157.0,105.0,168.0,21,186
187,20.0,20.0,97.0,160.0,107.0,170.0,21,187
188,20.0,21.0,97.0,160.0,107.0,170.5,21,188
189,19.0,22.0,100.0,161.0,109.5,172.0,21,189
190,19.0,22.0,100.0,161.0,109.5,172.0,21,190
191,21.0,21.0,101.0,163.0,111.5,173.5,21,191
192,21.0,21.0,101.0,163.0,111.5,173.5,21,192
193,21.0,22.0,104.0,165.0,114.5,176.0,21,193
194,21.0,23.0,104.0,165.0,114.5,176.5,21,194
195,22.0,23.0,106.0,168.0,117.0,179.5,21,195
196,22.0,23.0,106.0,168.0,117.0,179.5,21,196
197,23.0,25.0,107.0,169.0,118.5,181.5,21,197
198,24.0,25.0,106.0,169.0,118.0,181.5,21,198
199,23.0,25.0,110.0,172.0,121.5,184.5,21,199
200,23.0,25.0,110.0,172.0,121.5,184.5,21,200
201,23.0,25.0,113.0,174.0,124.5,186.5,21,201
202,23.0,25.0,113.0,174.0,124.5,186.5,21,202
