74,0,43.89,30.481
74,1,22.328,15.24
74,2,27.092,18.289
74,5,10.159,10.16
74,8,32.657,18.289
74,9,18.756,18.758
74,11,55.878,45.721
74,12,16.508,10.16
74,13,21.335,11.43
74,14,12.7,10.16
74,15,10.159,10.16
74,17,15.24,12.469
74,19,10.159,10.16
74,20,16.328,12.469
74,22,21.144,8.313
74,23,23.494,15.24
74,24,18.288,18.289
74,25,25.4,19.595
74,27,23.825,8.313
74,29,12.7,8.313
74,31,21.515,15.24
74,32,33.249,22.861
74,44,12.7,10.16
74,45,14.748,11.43
74,47,20.116,20.117
74,49,9.1438,9.1446
74,51,17.456,10.551
74,53,33.527,33.53
74,54,22.859,18.289
74,65,32.657,18.289
74,67,25.145,18.289
74,71,10.159,10.16
74,72,12.469,12.469
74,73,20.781,13.063
74,74,33.249,27.432
74,76,20.781,18.289
74,81,33.249,22.861
74,84,28.574,15.24
74,86,23.773,15.24
74,91,13.062,13.063
74,93,33.249,22.861
74,95,22.859,19.595
74,98,45.718,45.721
74,101,15.24,15.24
74,107,20.781,13.063
74,110,22.859,17.146
74,112,10.159,10.16
74,115,20.781,15.24
74,119,13.062,7.2193
74,121,24.937,24.939
74,124,21.101,12.469
74,127,20.781,15.24
74,130,33.249,33.252
74,132,25.879,15.24
74,134,22.859,15.24
74,137,15.24,15.24
74,139,26.125,19.595
74,140,45.718,45.721
74,142,40.637,40.64
74,145,28.134,17.146
74,146,57.147,45.721
74,149,20.319,15.24
74,150,27.431,27.432
74,153,15.24,15.24
74,154,36.575,22.861
74,156,33.249,33.252
74,157,28.574,15.24
74,161,24.937,24.939
74,163,15.24,13.063
74,164,20.781,15.24
74,167,40.637,40.64
74,168,12.7,10.16
74,170,33.249,22.861
74,172,40.637,40.64
74,177,15.24,13.716
74,179,12.7,12.469
74,184,36.575,27.432
74,185,45.718,45.721
74,189,15.24,13.063
74,195,25.4,18.289
74,197,15.24,10.16
74,208,24.937,22.861
74,210,15.24,15.24
74,212,17.584,10.16
74,214,25.4,18.289
74,218,27.431,19.595
74,229,33.249,15.24
74,230,19.25,10.16
74,232,19.342,19.344
